Perfil,Unidade,Serie,Curso,Questão 1. Sei obter informações para realizar os procedimentos administrativos,Questão 3. O horário de atendimento dos docentes é amplamente divulgado e de fácil acesso.,Questão 3. O horário de atendimento dos técnicos administrativos é amplamente divulgado e de fácil acesso,Questão 11.  Como você avalia o ambiente para as aulas quanto à acústica,16. Como você avalia a quantidade de material disponibilizado para as atividades de laboratório ?,Questão 17. Os serviços prestados na cantina são adequados?,"Questão 26. Como você avalia o programa de auxílio à participação em eventos acadêmicos, científicos e tecnológicos.",Questão 26. Como você avalia o programa de acompanhamento de serviço social,"Questão 26. Como você avalia a organização de grêmios estudantis, centros acadêmicos e diretórios acadêmicos",Questão 29. Como você avalia a eficiência e eficácia com que os recursos financeiros do IFSULDEMINAS são aplicados?
Discente do Superior,Machado,5°,Bacharelado Agronomia,Concordo,Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Regular,Bons/Boas,Bom,Bom,Bom,Regulares
Discente do Superior,Machado,10°,Bacharelado Agronomia,Concordo plenamente,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Ruim,Boas
Discente do Superior,Machado,10°,Bacharelado Agronomia,Concordo plenamente,Concordo plenamente,Concordo plenamente,Regular,Muito ruim,Regulares,Muito ruim,Ruim,Muito ruim,Muito ruins
Discente do Superior,Machado,5°,Bacharelado Agronomia,"Não concordo, nem discordo",Concordo,Concordo,Bom/Boa,Regular,Bons/Boas,Regular,Regular,Regular,Regulares
Discente do Superior,Machado,5°,Bacharelado Agronomia,Concordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Regulares
Discente do Superior,Machado,5°,Bacharelado Agronomia,Discordo,Prefiro não responder,Discordo,Regular,Ruim,Regulares,Ruim,Muito ruim,Muito ruim,Muito ruins
Discente do Superior,Machado,5°,Bacharelado Agronomia,"Não concordo, nem discordo",Discordo,Discordo,Muito Bom/Boa,Regular,Muito Bons/Boas,Ruim,Muito ruim,Muito ruim,Ruins
Discente do Superior,Machado,5°,Bacharelado Agronomia,Concordo,Concordo,Não concordo nem discordo,Muito ruim,Muito ruim,Regulares,Regular,Regular,Regular,Ruins
Discente do Superior,Machado,5°,Bacharelado Agronomia,Concordo plenamente,Não concordo nem discordo,Não sei responder,Regular,Ruim,Regulares,Ruim,Muito ruim,Muito ruim,Muito ruins
Discente do Superior,Machado,10°,Bacharelado Agronomia,Concordo,Concordo,Concordo,Regular,Regular,Bons/Boas,Muito bom,Bom,Bom,Regulares
Discente do Técnico,Poços de Caldas,1°  ,Técnico em Informática | Integrado,Concordo,Concordo,Concordo,Bom/Boa,Regular,Bons/Boas,Bom,Não sei,Não sei,Regulares
Discente do Técnico,Poços de Caldas,2°,Técnico em Informática | Integrado,Concordo,Concordo,Concordo,Bom/Boa,Boa,Muito Bons/Boas,Regular,Não sei,Não sei,Boas
Discente do Superior,Poços de Caldas,8°,Licenciatura Geografia,Concordo,Concordo,Concordo,Bom/Boa,Não sei responder,Ruins,Ruim,Não sei,Não sei,Não sei responder
Discente do Técnico,Machado,3°  ,Técnico em Informática | Integrado,Concordo,Concordo,Concordo,Regular,Boa,Muito Bons/Boas,Bom,Bom,Bom,Boas
Discente do Técnico,Poços de Caldas,2°,Técnico em Administração | Integrado,"Não concordo, nem discordo",Concordo,Discordo,Regular,Boa,Muito Bons/Boas,Muito bom,Regular,Regular,Regulares
Discente do Superior,Poços de Caldas,3°,Licenciatura Letras- Português- EaD,Concordo plenamente,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Boas
Discente do Superior,Poços de Caldas,5°,Tecnologia em Gestão Ambiental,Concordo,Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Regular,Regular,Ruim,Não sei responder
Discente do Superior,Poços de Caldas,4°,Licenciatura Geografia,"Não concordo, nem discordo",Concordo,Não concordo nem discordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Regular,Boas
TAE,Poços de Caldas,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Não sei responder,Regulares,Muito bom,Muito bom,Muito bom,Regulares
Discente do Superior,Poços de Caldas,2°,Tecnologia em Gestão Ambiental,Concordo,Concordo,Não concordo nem discordo,Muito Bom/Boa,Boa,Bons/Boas,Regular,Bom,Regular,Boas
Discente do Técnico,Machado,2°  ,Técnico em Agropecuária | Integrado,Discordo plenamente,Concordo plenamente,Concordo plenamente,Ruim,Muito ruim,Muito Bons/Boas,Bom,Ruim,Ruim,Boas
Discente do Superior,Inconfidentes,10°,Engenharia Ambiental,"Não concordo, nem discordo",Discordo,Discordo,Bom/Boa,Ruim,Bons/Boas,Regular,Regular,Ruim,Ruins
Discente do Superior,Poços de Caldas,3°,Licenciatura Letras- Português- EaD,Concordo plenamente,Discordo,Discordo,Bom/Boa,Não sei responder,Bons/Boas,Não sei,Não sei,Não sei,Não sei responder
Discente do Técnico,Muzambinho,3°  ,Técnico em Agropecuária | Integrado,Discordo,Discordo,Discordo,Ruim,Regular,Regulares,Muito ruim,Muito ruim,Ruim,Muito ruins
Discente do Superior,Machado,4°,Bacharelado Administração,Concordo plenamente,Discordo,Discordo,Muito Bom/Boa,Boa,Bons/Boas,Regular,Bom,Ruim,Boas
Discente do Superior,Muzambinho,6°,Bacharelado Engenharia Agronômica,Discordo plenamente,Discordo plenamente,Discordo plenamente,Bom/Boa,Regular,Bons/Boas,Ruim,Bom,Ruim,Ruins
Discente do Técnico,Muzambinho,2°  ,Técnico em Agropecuária | Integrado,Concordo plenamente,Concordo plenamente,Não concordo nem discordo,Muito Bom/Boa,Regular,Bons/Boas,Muito bom,Muito bom,Muito bom,Regulares
Discente do Técnico,Poços de Caldas,2°  ,Técnico em Administração | Integrado,Discordo plenamente,Concordo,Não concordo nem discordo,Regular,Regular,Muito Bons/Boas,Não sei,Não sei,Muito ruim,Regulares
TAE,Muzambinho,,,Concordo plenamente,Não concordo nem discordo,Concordo,Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Bom,Muito bom,Boas
Discente do Técnico,Muzambinho,1°  ,Técnico em Agropecuária | Integrado,Concordo plenamente,Não concordo nem discordo,Concordo,Regular,Regular,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Regulares
TAE,Muzambinho,,,Concordo,Discordo,Concordo,Regular,Regular,Regulares,Bom,Muito bom,Muito bom,Muito ruins
Docente,Passos,,,Concordo,Concordo,Discordo,Regular,Prefiro não responder,Regulares,Prefiro não responder,Muito bom,Prefiro não responder,Não sei responder
Docente,Muzambinho,,,Concordo plenamente,Discordo plenamente,Discordo,Regular,Ruim,Ruins,Regular,Não sei,Não sei,Ruins
Docente,Passos,,,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
TAE,Muzambinho,,,Concordo,Não sei responder,Concordo plenamente,Não sei responder,Não sei responder,Muito ruins,Não sei,Muito bom,Muito bom,Boas
Docente,Inconfidentes,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Boa,Ruins,Muito bom,Regular,Muito bom,Boas
Discente do Superior,Poços de Caldas,3°,Licenciatura Letras- Português- EaD,Concordo plenamente,Discordo,Discordo,Muito Bom/Boa,Não sei responder,Não sei responder,Não sei,Não sei,Não sei,Não sei responder
Discente do Superior,Muzambinho,8°,Bacharelado Medicina Veterinária,Concordo plenamente,Discordo plenamente,Discordo plenamente,Regular,Muito boa,Muito Bons/Boas,Ruim,Muito ruim,Muito bom,Regulares
Docente,Pouso Alegre,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Bom/Boa,Boa,Regulares,Bom,Bom,Regular,Boas
Docente,Inconfidentes,,,Concordo,Concordo,Não concordo nem discordo,Regular,Não sei responder,Bons/Boas,Bom,Regular,Regular,Boas
Discente do Superior,Inconfidentes,4°,Engenharia Ambiental,Concordo,Discordo,Não concordo nem discordo,Ruim,Ruim,Muito Bons/Boas,Muito bom,Bom,Muito bom,Boas
Discente do Superior,Muzambinho,8°,Bacharelado Engenharia Agronômica,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Boa,Ruins,Muito bom,Bom,Bom,Regulares
Discente do Técnico,Poços de Caldas,1°  ,Técnico em Administração | Integrado,Discordo,Concordo,Concordo,Bom/Boa,Regular,Bons/Boas,Ruim,Não sei,Regular,Ruins
Discente do Técnico,Inconfidentes,1°,Técnico em Agropecuária | Integrado,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Ruim,Regular,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Muzambinho,4°,Bacharelado Engenharia Agronômica,Concordo plenamente,Concordo plenamente,Não concordo nem discordo,Muito Bom/Boa,Regular,Muito ruins,Regular,Não sei,Prefiro não responder,Regulares
Docente,Machado,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Bom/Boa,Boa,Bons/Boas,Regular,Muito bom,Bom,Boas
Discente do Técnico,Inconfidentes,2°  ,Técnico em Agropecuária | Integrado,Concordo,Concordo,Concordo plenamente,Regular,Regular,Muito Bons/Boas,Regular,Regular,Bom,Boas
TAE,Passos,,,Concordo plenamente,Concordo,Concordo,Muito Bom/Boa,Boa,Bons/Boas,Muito bom,Bom,Bom,Muito boas
Discente do Técnico,Inconfidentes,1°  ,Técnico em Geoprocessamento | Subsequente,Não sei responder,Discordo,Discordo,Bom/Boa,Boa,Regulares,Muito ruim,Muito ruim,Muito ruim,Muito ruins
Docente,Machado,,,Concordo plenamente,Concordo,Discordo,Regular,Boa,Não sei responder,Bom,Não sei,Não sei,Regulares
Docente,Passos,,,Concordo,Concordo,Não concordo nem discordo,Regular,Boa,Prefiro não responder,Regular,Muito bom,Ruim,Regulares
Discente do Técnico,Poços de Caldas,3°,Técnico em Desenvolvimento de Sistemas - EaD | Subsequente,Concordo plenamente,Concordo,Concordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Regulares
TAE,Machado,,,Concordo plenamente,Não concordo nem discordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
