Perfil,Unidade,Serie,Curso,Questão 1. Sei obter informações para realizar os procedimentos administrativos,Questão 3. O horário de atendimento dos docentes é amplamente divulgado e de fácil acesso.,Questão 3. O horário de atendimento dos técnicos administrativos é amplamente divulgado e de fácil acesso,Questão 11.  Como você avalia o ambiente para as aulas quanto à acústica,16. Como você avalia a quantidade de material disponibilizado para as atividades de laboratório ?,Questão 17. Os serviços prestados na cantina são adequados?,"Questão 26. Como você avalia o programa de auxílio à participação em eventos acadêmicos, científicos e tecnológicos.",Questão 26. Como você avalia o programa de acompanhamento de serviço social,"Questão 26. Como você avalia a organização de grêmios estudantis, centros acadêmicos e diretórios acadêmicos",Questão 29. Como você avalia a eficiência e eficácia com que os recursos financeiros do IFSULDEMINAS são aplicados?
Discente do Técnico,Passos,3°,Técnico em Informática | Integrado,Discordo plenamente,Não concordo nem discordo,Concordo,Bom/Boa,Boa,Bons/Boas,Ruim,Regular,Regular,Ruins
Docente,Muzambinho,,,Concordo,Concordo,Concordo,Bom/Boa,Muito ruim,Regulares,Bom,Bom,Bom,Regulares
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Não sei responder,Discordo,Discordo,Ruim,Boa,Bons/Boas,Regular,Bom,Bom,Boas
Discente do Superior,Inconfidentes,8°,Engenharia Ambiental,Concordo,Concordo,Concordo,Muito Bom/Boa,Muito boa,Bons/Boas,Regular,Regular,Regular,Regulares
Discente do Superior,Muzambinho,4°,Bacharelado Engenharia Agronômica,Discordo,Concordo,Concordo,Muito Bom/Boa,Ruim,Bons/Boas,Não sei,Não sei,Não sei,Regulares
Discente do Técnico,Muzambinho,2°  ,Técnico em Informática | Integrado,Concordo,Não concordo nem discordo,Concordo,Regular,Regular,Muito Bons/Boas,Regular,Ruim,Regular,Regulares
Discente do Superior,Inconfidentes,4°,Tecnologia em Gestão Ambiental,"Não concordo, nem discordo",Concordo plenamente,Concordo,Muito Bom/Boa,Boa,Muito Bons/Boas,Bom,Bom,Bom,Muito boas
Discente do Técnico,Inconfidentes,3°,Técnico em Alimentos | Integrado,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder
Discente do Técnico,Inconfidentes,2°,Técnico em Alimentos | Integrado,Concordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Não sei responder,Muito Bons/Boas,Bom,Regular,Regular,Regulares
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Concordo,Não concordo nem discordo,Concordo,Bom/Boa,Muito boa,Muito Bons/Boas,Bom,Bom,Bom,Regulares
Discente do Superior,Muzambinho,4°,Bacharelado Engenharia Agronômica,Discordo,Concordo,Discordo,Bom/Boa,Boa,Bons/Boas,Regular,Bom,Regular,Boas
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Não sei responder,Discordo,Discordo,Ruim,Regular,Bons/Boas,Regular,Bom,Bom,Regulares
Discente do Técnico,Inconfidentes,2°  ,Técnico em Alimentos | Integrado,Discordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Regular,Bons/Boas,Regular,Regular,Regular,Regulares
Discente do Superior,Inconfidentes,6°,Engenharia Ambiental,Concordo,Concordo,Concordo,Muito Bom/Boa,Regular,Bons/Boas,Muito bom,Não sei,Bom,Boas
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Concordo,Não sei responder,Não sei responder,Não sei responder,Muito boa,Muito Bons/Boas,Bom,Não sei,Não sei,Boas
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Não sei responder,Não sei responder,Não sei responder,Ruim,Regular,Não sei responder,Não sei,Não sei,Não sei,Não sei responder
Discente do Superior,Machado,4°,Licenciatura Ciências Biológicas,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Concordo,Concordo,Concordo,Regular,Muito boa,Bons/Boas,Regular,Não sei,Regular,Regulares
Discente do Superior,Machado,4°,Licenciatura Ciências Biológicas,Concordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Regular,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Técnico,Inconfidentes,1°  ,Técnico em Meio Ambiente | Integrado,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Concordo,Não concordo nem discordo,Concordo,Bom/Boa,Regular,Bons/Boas,Regular,Não sei,Regular,Não sei responder
Discente do Técnico,Inconfidentes,3°  ,Técnico em Meio Ambiente | Integrado,Discordo,Concordo,Discordo,Bom/Boa,Muito boa,Muito Bons/Boas,Regular,Não sei,Bom,Boas
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Concordo,Discordo,Discordo,Bom/Boa,Regular,Não se aplica,Ruim,Não sei,Bom,Ruins
Discente do Técnico,Muzambinho,2°  ,Técnico em Informática | Integrado,Discordo,Não concordo nem discordo,Não sei responder,Muito ruim,Ruim,Regulares,Bom,Não sei,Não sei,Ruins
Discente do Superior,Machado,10°,Licenciatura Ciências Biológicas,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Ruim,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,"Não concordo, nem discordo",Discordo,Discordo,Bom/Boa,Ruim,Não se aplica,Ruim,Regular,Bom,Ruins
Discente do Técnico,Machado,2°  ,Técnico em Alimentos | Integrado,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Ruim,Regular,Muito Bons/Boas,Regular,Bom,Regular,Boas
Docente,Inconfidentes,,,Concordo,Discordo,Discordo,Regular,Boa,Prefiro não responder,Regular,Bom,Bom,Prefiro não responder
Discente do Superior,Muzambinho,8°,Bacharelado Medicina Veterinária,Concordo,Concordo,Não concordo nem discordo,Regular,Boa,Regulares,Regular,Não sei,Bom,Não sei responder
Discente do Superior,Machado,4°,Licenciatura Ciências Biológicas,"Não concordo, nem discordo",Concordo,Discordo,Bom/Boa,Muito ruim,Bons/Boas,Regular,Não sei,Ruim,Ruins
Discente do Técnico,Inconfidentes,1°  ,Técnico em Meio Ambiente | Integrado,Concordo,Não concordo nem discordo,Concordo,Regular,Boa,Bons/Boas,Muito bom,Bom,Bom,Boas
Docente,Muzambinho,,,Concordo,Concordo plenamente,Concordo plenamente,Regular,Não sei responder,Não sei responder,Bom,Regular,Bom,Não sei responder
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Não sei responder,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Não sei,Bom,Regulares
Discente do Técnico,Muzambinho,2°  ,Técnico em Informática | Integrado,Concordo,Concordo,Concordo,Muito ruim,Ruim,Regulares,Regular,Muito ruim,Regular,Muito ruins
Discente do Técnico,Muzambinho,2°  ,Técnico em Informática | Integrado,Concordo,Não concordo nem discordo,Discordo,Ruim,Regular,Regulares,Bom,Regular,Ruim,Regulares
Discente do Superior,Muzambinho,2°,Licenciatura Ciências Biológicas,Concordo,Discordo,Discordo,Bom/Boa,Regular,Bons/Boas,Regular,Regular,Muito bom,Regulares
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Concordo,Discordo,Discordo plenamente,Bom/Boa,Regular,Bons/Boas,Ruim,Regular,Bom,Regulares
TAE,Poços de Caldas,,,"Não concordo, nem discordo",Discordo,Concordo,Bom/Boa,Muito boa,Bons/Boas,Muito bom,Bom,Regular,Boas
Discente do Técnico,Machado,2°,Técnico em Alimentos | Integrado,Concordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Muito boa,Muito Bons/Boas,Não sei,Não sei,Não sei,Não sei responder
Docente,Poços de Caldas,,,"Não concordo, nem discordo",Concordo plenamente,Concordo plenamente,Bom/Boa,Boa,Regulares,Prefiro não responder,Prefiro não responder,Bom,Prefiro não responder
Discente do Superior,Muzambinho,2°,Licenciatura Pedagogia EaD,Concordo,Concordo,Concordo,Bom/Boa,Boa,Muito Bons/Boas,Bom,Bom,Bom,Não sei responder
Discente do Técnico,Machado,2°  ,Técnico em Alimentos | Integrado,"Não concordo, nem discordo",Concordo,Não concordo nem discordo,Bom/Boa,Boa,Bons/Boas,Bom,Regular,Bom,Regulares
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Concordo,Discordo,Discordo,Ruim,Boa,Muito Bons/Boas,Muito ruim,Regular,Bom,Regulares
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Concordo,Não concordo nem discordo,Discordo,Ruim,Boa,Muito Bons/Boas,Ruim,Bom,Bom,Regulares
Discente do Superior,Machado,4°,Bacharelado Sistemas de Informação,Não sei responder,Concordo,Não concordo nem discordo,Ruim,Regular,Muito Bons/Boas,Muito bom,Prefiro não responder,Prefiro não responder,Não sei responder
Discente do Superior,Machado,8°,Bacharelado Sistemas de Informação,"Não concordo, nem discordo",Discordo plenamente,Discordo plenamente,Regular,Não sei responder,Regulares,Regular,Ruim,Ruim,Regulares
Docente,Machado,,,Concordo,Discordo plenamente,Discordo plenamente,Regular,Regular,Regulares,Regular,Regular,Ruim,Regulares
Discente do Técnico,Machado,1°,Técnico em Agropecuária | Integrado,Concordo plenamente,Concordo plenamente,Concordo plenamente,Bom/Boa,Muito boa,Muito Bons/Boas,Bom,Não sei,Bom,Boas
Discente do Superior,Machado,4°,Bacharelado Administração,Concordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Muito boas
Discente do Técnico,Machado,2°  ,Técnico em Agropecuária | Integrado,"Não concordo, nem discordo",Discordo,Não concordo nem discordo,Muito ruim,Regular,Regulares,Regular,Bom,Bom,Regulares
Discente do Superior,Pouso Alegre,10°,Bacharelado Engenharia Química,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Regular,Bons/Boas,Não sei,Não sei,Não sei,Não sei responder
Discente do Técnico,Machado,2°,Técnico em Agropecuária | Integrado,Concordo plenamente,Concordo,Não concordo nem discordo,Muito Bom/Boa,Muito ruim,Muito ruins,Ruim,Ruim,Regular,Prefiro não responder
Discente do Superior,Machado,4°,Bacharelado Ciência e Tecnologia de Alimentos,Concordo plenamente,Não concordo nem discordo,Discordo,Regular,Boa,Bons/Boas,Muito bom,Bom,Bom,Muito boas
Discente do Superior,Machado,4°,Bacharelado Administração,Prefiro não responder,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Prefiro não responder,Regulares,Regular,Não sei,Não sei,Ruins
Discente do Superior,Pouso Alegre,6°,Bacharelado Engenharia Civil,Concordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Regular,Regulares,Ruim,Bom,Bom,Regulares
Discente do Superior,Machado,6°,Bacharelado Administração,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Boa,Bons/Boas,Muito bom,Muito bom,Bom,Boas
Discente do Superior,Machado,4°,Bacharelado Administração,"Não concordo, nem discordo",Concordo,Concordo,Regular,Muito ruim,Regulares,Bom,Não sei,Prefiro não responder,Ruins
Discente do Técnico,Machado,2°  ,Técnico em Agropecuária | Integrado,Discordo,Discordo plenamente,Discordo plenamente,Muito ruim,Muito ruim,Regulares,Ruim,Regular,Ruim,Ruins
Discente do Técnico,Machado,2°,Técnico em Agropecuária | Integrado,Discordo,Discordo,Discordo,Bom/Boa,Boa,Regulares,Regular,Regular,Ruim,Ruins
Discente do Superior,Machado,8°,Bacharelado Administração,Concordo,Concordo,Concordo plenamente,Bom/Boa,Boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Discente do Técnico,Pouso Alegre,2°  ,Técnico em Administração | Integrado,Concordo,Não sei responder,Não sei responder,Muito Bom/Boa,Não se aplica,Regulares,Bom,Regular,Regular,Prefiro não responder
Discente do Superior,Machado,4°,Bacharelado Sistemas de Informação,Discordo,Discordo,Discordo,Bom/Boa,Boa,Bons/Boas,Não sei,Não sei,Não sei,Muito boas
Discente do Superior,Muzambinho,4°,Licenciatura Pedagogia EaD,Concordo,Discordo,Discordo,Não se aplica,Não se aplica,Não se aplica,Não sei,Não sei,Não sei,Não sei responder
Docente,Inconfidentes,,,Concordo,Concordo,Concordo,Muito Bom/Boa,Muito boa,Regulares,Muito bom,Muito bom,Muito bom,Boas
Discente do Técnico,Muzambinho,1°  ,Técnico em Agropecuária | Integrado,"Não concordo, nem discordo",Concordo,Concordo,Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Bom,Muito bom,Boas
Discente do Superior,Muzambinho,8°,Bacharelado Medicina Veterinária,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Muzambinho,2°,Licenciatura Ciências Biológicas,Concordo plenamente,Concordo,Discordo,Muito Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Regulares
Discente do Técnico,Muzambinho,1°  ,Técnico em Agropecuária | Integrado,Concordo,Concordo,Concordo,Regular,Boa,Regulares,Bom,Bom,Muito bom,Regulares
Discente do Técnico,Muzambinho,1°,Técnico em Agropecuária | Integrado,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Ruim,Boa,Bons/Boas,Bom,Bom,Regular,Boas
Docente,Machado,,,Concordo,Discordo plenamente,Prefiro não responder,Regular,Não sei responder,Regulares,Regular,Bom,Regular,Boas
Discente do Técnico,Muzambinho,1°  ,Técnico em Agropecuária | Integrado,Não sei responder,Discordo,Não sei responder,Ruim,Ruim,Ruins,Muito ruim,Muito ruim,Muito ruim,Ruins
Discente do Superior,Machado,6°,Bacharelado Administração,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Regular,Bons/Boas,Bom,Bom,Bom,Regulares
Discente do Técnico,Muzambinho,1°  ,Técnico em Agropecuária | Integrado,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Muito bom,Muito bom,Boas
Discente do Superior,Machado,8°,Bacharelado Administração,"Não concordo, nem discordo",Concordo,Concordo,Regular,Boa,Não sei responder,Bom,Bom,Bom,Boas
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,"Não concordo, nem discordo",Não concordo nem discordo,Concordo,Bom/Boa,Regular,Ruins,Não sei,Não sei,Regular,Ruins
Discente do Técnico,Pouso Alegre,2°  ,Técnico em Química | Integrado,Concordo,Discordo,Discordo,Bom/Boa,Regular,Regulares,Muito bom,Prefiro não responder,Regular,Regulares
Discente do Técnico,Machado,1°  ,Técnico em Agropecuária | Integrado,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Não sei responder,Bons/Boas,Ruim,Bom,Regular,Boas
Discente do Superior,Machado,6°,Bacharelado Administração,Concordo,Concordo,Concordo,Regular,Boa,Regulares,Bom,Bom,Bom,Boas
Discente do Superior,Muzambinho,2°,Licenciatura Pedagogia EaD,Concordo,Concordo,Concordo,Bom/Boa,Regular,Regulares,Regular,Regular,Regular,Regulares
Discente do Superior,Muzambinho,6°,Bacharelado Medicina Veterinária,Discordo,Discordo plenamente,Discordo plenamente,Bom/Boa,Ruim,Bons/Boas,Ruim,Muito ruim,Regular,Regulares
Docente,Poços de Caldas,,,Concordo,Concordo plenamente,Não concordo nem discordo,Muito Bom/Boa,Muito boa,Ruins,Bom,Regular,Regular,Regulares
Discente do Superior,Machado,2°,Bacharelado Administração,"Não concordo, nem discordo",Discordo,Discordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Regulares
Discente do Técnico,Machado,2°  ,Técnico em Alimentos | Integrado,"Não concordo, nem discordo",Não concordo nem discordo,Discordo,Ruim,Regular,Bons/Boas,Regular,Muito bom,Muito ruim,Muito ruins
Discente do Superior,Machado,2°,Bacharelado Administração,"Não concordo, nem discordo",Prefiro não responder,Prefiro não responder,Regular,Prefiro não responder,Bons/Boas,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder
Discente do Técnico,Machado,2°  ,Técnico em Alimentos | Integrado,Não sei responder,Não concordo nem discordo,Concordo,Ruim,Regular,Muito Bons/Boas,Ruim,Bom,Regular,Muito ruins
Discente do Técnico,Machado,2°,Técnico em Alimentos | Integrado,"Não concordo, nem discordo",Discordo,Discordo plenamente,Muito ruim,Regular,Muito Bons/Boas,Ruim,Muito bom,Muito ruim,Muito ruins
Docente,Machado,,,Concordo,Concordo,Concordo,Regular,Regular,Regulares,Ruim,Prefiro não responder,Prefiro não responder,Regulares
Discente do Superior,Carmo de Minas,6°,Bacharelado em Administração,Concordo,Não concordo nem discordo,Concordo,Muito Bom/Boa,Boa,Muito Bons/Boas,Regular,Muito bom,Regular,Boas
Discente do Superior,Machado,2°,Bacharelado Administração,Concordo,Concordo,Concordo,Regular,Regular,Bons/Boas,Não sei,Não sei,Regular,Não sei responder
Discente do Superior,Pouso Alegre,2°,Bacharelado Engenharia Civil,Concordo,Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Boa,Não sei responder,Não sei,Bom,Não sei,Boas
Docente,Poços de Caldas,,,Concordo,Não concordo nem discordo,Não concordo nem discordo,Ruim,Regular,Regulares,Bom,Bom,Regular,Regulares
Discente do Superior,Machado,4°,Bacharelado Administração,"Não concordo, nem discordo",Não concordo nem discordo,Discordo plenamente,Muito Bom/Boa,Não sei responder,Bons/Boas,Regular,Regular,Regular,Boas
Discente do Superior,Muzambinho,8°,Bacharelado Medicina Veterinária,Discordo,Discordo,Não sei responder,Muito ruim,Regular,Bons/Boas,Muito bom,Bom,Muito bom,Boas
Discente do Superior,Machado,5°,Bacharelado Sistemas de Informação,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Regular,Boa,Bons/Boas,Regular,Regular,Regular,Regulares
Discente do Superior,Machado,6°,Bacharelado Sistemas de Informação,Concordo,Não concordo nem discordo,Concordo,Muito Bom/Boa,Não se aplica,Regulares,Bom,Não sei,Bom,Regulares
Docente,Poços de Caldas,,,Concordo plenamente,Concordo plenamente,Discordo,Ruim,Regular,Bons/Boas,Bom,Não sei,Regular,Boas
Docente,Muzambinho,,,Concordo,Concordo,Concordo,Regular,Regular,Regulares,Regular,Não sei,Muito ruim,Regulares
Docente,Pouso Alegre,,,Concordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Boa,Ruins,Regular,Regular,Regular,Boas
Docente,Poços de Caldas,,,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Regular,Boa,Regulares,Regular,Regular,Bom,Ruins
Discente do Superior,Machado,2°,Bacharelado Administração,Discordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Regular,Bons/Boas,Ruim,Não sei,Não sei,Prefiro não responder
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Concordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Boa,Muito Bons/Boas,Regular,Regular,Bom,Regulares
Discente do Técnico,Pouso Alegre,2°,Técnico em Logística - EaD | Subsequente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Docente,Machado,,,Discordo,Discordo,Discordo plenamente,Ruim,Ruim,Bons/Boas,Ruim,Regular,Ruim,Regulares
TAE,Muzambinho,,,Concordo,Não concordo nem discordo,Concordo,Não sei responder,Não sei responder,Regulares,Não sei,Ruim,Regular,Regulares
Discente do Superior,Machado,2°,Bacharelado Administração,Concordo,Concordo,Concordo,Muito ruim,Regular,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Machado,2°,Bacharelado Administração,Concordo,Concordo,Concordo,Muito Bom/Boa,Boa,Muito Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Muzambinho,2°,Licenciatura Ciências Biológicas,Concordo,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Técnico,Pouso Alegre,4°,Técnico em Segurança do Trabalho | Subsequente,Discordo,Discordo,Discordo,Regular,Regular,Muito ruins,Regular,Regular,Regular,Regulares
Docente,Pouso Alegre,,,Discordo plenamente,Concordo,Discordo plenamente,Ruim,Prefiro não responder,Regulares,Bom,Regular,Regular,Regulares
Discente do Superior,Machado,8°,Bacharelado Administração,Concordo plenamente,Concordo plenamente,Concordo plenamente,Regular,Muito boa,Muito Bons/Boas,Muito bom,Não sei,Muito bom,Regulares
Discente do Técnico,Muzambinho,2°  ,Técnico em Agropecuária | Integrado,Concordo,Discordo,Não concordo nem discordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Discente do Superior,Pouso Alegre,4°,Licenciatura Química,"Não concordo, nem discordo",Concordo,Concordo,Regular,Regular,Muito ruins,Regular,Regular,Regular,Regulares
Discente do Superior,Machado,8°,Bacharelado Sistemas de Informação,Concordo,Discordo,Discordo,Muito Bom/Boa,Boa,Bons/Boas,Muito bom,Não sei,Bom,Boas
Docente,Pouso Alegre,,,Concordo,Concordo plenamente,Concordo,Bom/Boa,Boa,Não sei responder,Bom,Bom,Bom,Boas
Discente do Superior,Machado,8°,Bacharelado Sistemas de Informação,"Não concordo, nem discordo",Concordo,Concordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Prefiro não responder,Prefiro não responder,Prefiro não responder,Muito boas
Discente do Superior,Inconfidentes,8°,Licenciatura em Matemática,Concordo plenamente,Concordo plenamente,Concordo plenamente,Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
TAE,Inconfidentes,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Superior,Pouso Alegre,2°,Bacharelado Engenharia Civil,Discordo,Concordo,Concordo,Ruim,Regular,Regulares,Não sei,Não sei,Não sei,Não sei responder
Discente do Técnico,Passos,1°  ,Técnico em Comunicação Visual (nova nomenclatura a partir de 2023: Design Gráfico) | Integrado,Concordo,Concordo,Concordo,Bom/Boa,Muito boa,Bons/Boas,Bom,Bom,Bom,Boas
TAE,Poços de Caldas,,,Concordo plenamente,Discordo,Concordo,Não sei responder,Não sei responder,Bons/Boas,Não sei,Regular,Ruim,Regulares
Docente,Muzambinho,,,Concordo plenamente,Discordo,Concordo,Muito Bom/Boa,Boa,Bons/Boas,Muito bom,Bom,Muito bom,Regulares
Discente do Superior,Muzambinho,2°,Licenciatura Ciências Biológicas,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Superior,Poços de Caldas,2°,Tecnologia em Gestão Ambiental,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Poços de Caldas,2°,Tecnologia em Gestão Ambiental,Não sei responder,Concordo plenamente,Concordo,Muito Bom/Boa,Muito boa,Muito ruins,Bom,Não sei,Não sei,Não sei responder
Discente do Superior,Poços de Caldas,2°,Tecnologia em Gestão Ambiental,"Não concordo, nem discordo",Concordo,Não concordo nem discordo,Regular,Boa,Regulares,Não sei,Não sei,Não sei,Regulares
Discente do Superior,Poços de Caldas,2°,Tecnologia em Gestão Ambiental,Não sei responder,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Não sei,Não sei,Não sei,Não sei responder
Docente,Muzambinho,,,Concordo plenamente,Discordo,Discordo,Bom/Boa,Regular,Bons/Boas,Regular,Prefiro não responder,Regular,Regulares
Discente do Superior,Poços de Caldas,2°,Tecnologia em Gestão Ambiental,Discordo,Concordo,Não concordo nem discordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Não sei,Não sei,Não sei responder
Discente do Superior,Inconfidentes,6°,Licenciatura em História,Concordo,Discordo,Discordo,Regular,Regular,Muito ruins,Ruim,Muito ruim,Ruim,Muito ruins
Discente do Técnico,Muzambinho,2°,Técnico em Agropecuária | Integrado,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Regular,Regular,Regulares,Bom,Bom,Bom,Muito ruins
Docente,Inconfidentes,,,Concordo plenamente,Discordo,Não concordo nem discordo,Muito ruim,Regular,Bons/Boas,Bom,Regular,Bom,Regulares
Discente do Superior,Poços de Caldas,2°,Tecnologia em Gestão Ambiental,Concordo,Concordo,Não concordo nem discordo,Muito Bom/Boa,Boa,Bons/Boas,Bom,Não sei,Bom,Boas
Discente do Superior,Inconfidentes,6°,Licenciatura em História,Discordo,Discordo plenamente,Discordo plenamente,Bom/Boa,Muito ruim,Ruins,Muito ruim,Muito ruim,Muito ruim,Muito ruins
Discente do Superior,Inconfidentes,6°,Licenciatura em História,Discordo,Não concordo nem discordo,Não sei responder,Ruim,Não sei responder,Não sei responder,Não sei,Não sei,Não sei,Não sei responder
Discente do Superior,Poços de Caldas,2°,Tecnologia em Gestão Ambiental,Discordo,Concordo plenamente,Discordo plenamente,Muito Bom/Boa,Muito boa,Bons/Boas,Muito bom,Regular,Bom,Boas
Discente do Superior,Inconfidentes,6°,Licenciatura em História,Concordo,Discordo,Discordo,Regular,Regular,Muito Bons/Boas,Regular,Ruim,Ruim,Boas
Discente do Superior,Inconfidentes,6°,Licenciatura em História,Concordo plenamente,Concordo plenamente,Concordo,Bom/Boa,Não sei responder,Muito Bons/Boas,Bom,Não sei,Regular,Regulares
Discente do Superior,Muzambinho,2°,Licenciatura Ciências Biológicas,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Machado,3°,Pós-graduação Informática na Educação,Discordo plenamente,Concordo,Discordo plenamente,Regular,Boa,Não sei responder,Não sei,Não sei,Não sei,Não sei responder
Discente do Superior,Poços de Caldas,8°,Licenciatura Geografia,Concordo,Concordo,Concordo,Bom/Boa,Boa,Regulares,Regular,Regular,Regular,Boas
Discente do Superior,Poços de Caldas,8°,Licenciatura Geografia,Concordo plenamente,Concordo,Concordo,Muito Bom/Boa,Boa,Regulares,Bom,Muito bom,Regular,Não sei responder
Discente do Superior,Poços de Caldas,8°,Licenciatura Geografia,Concordo,Concordo,Concordo,Muito Bom/Boa,Boa,Regulares,Muito bom,Bom,Bom,Boas
Docente,Pouso Alegre,,,Concordo,Concordo,Não concordo nem discordo,Bom/Boa,Regular,Ruins,Regular,Regular,Bom,Regulares
Discente do Superior,Muzambinho,2°,Licenciatura Pedagogia EaD,Concordo,Concordo,Não concordo nem discordo,Bom/Boa,Não sei responder,Regulares,Não sei,Não sei,Não sei,Boas
Discente do Superior,Poços de Caldas,8°,Licenciatura Geografia,"Não concordo, nem discordo",Concordo,Discordo,Bom/Boa,Boa,Bons/Boas,Não sei,Não sei,Não sei,Boas
Discente do Técnico,Poços de Caldas,3°  ,Técnico em Informática | Integrado,Discordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Não sei responder,Não sei responder,Bom,Bom,Bom,Boas
Discente do Superior,Muzambinho,1°,Tecnologia em Cafeicultura,Concordo,Concordo,Concordo,Bom/Boa,Boa,Muito Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Poços de Caldas,2°,Licenciatura Geografia,Concordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Regular,Ruins,Não sei,Não sei,Não sei,Regulares
