Perfil,Unidade,Serie,Curso,Questão 1. Sei iniciar os procedimentos administrativos,Questão 1. Sei acompanhar os procedimentos administrativos,Questão 1. Sei obter informações para realizar os procedimentos administrativos,Questão 1.As informações são de simples localização,Questão 1. As informações são de simples compreensão,Questão 1. O pedido de esclarecimentos sobre os procedimentos administrativos é respondido de forma satisfatória (clara e rápida).,Questão 2. Você tem conhecimento sobre como é a jornada de trabalho dos Docentes e/ou dos Técnicos Administrativos em Educação?,Questão 3. Os horários de funcionamento dos setores são amplamente divulgados e de fácil acesso.,Questão 3. O horário de atendimento dos docentes é amplamente divulgado e de fácil acesso.,Questão 3. O horário de atendimento dos técnicos administrativos é amplamente divulgado e de fácil acesso,Questão 3. Considero que a flexibilização de 30 horas é benéfica ao desenvolvimento de atividades na instituição.,Questão 3. Considero que a normativa docente é benéfica ao desenvolvimento de atividades na instituição,Questão 4. Você conhece o organograma administrativo do IFSULDEMINAS da sua unidade?,Questão 5.Conheço as instâncias consultivas,Questão 5. Conheço as instâncias deliberativas?,Questão 6.  Você já participou de alguma consulta ou eleição? ,Questão 8. Como você avalia a facilidade de acesso,Questão 8. Como você avalia a segurança no Campus,Questão 9.  Como você avalia os serviços de segurança no campus?,Questão 10. Como você avalia o serviço prestado pela biblioteca,Questão 10. Como você avalia a quantidade de livros básicos e periódicos recomendados nas unidades curriculares,"Questão 10. Como você avalia a biblioteca quanto ao acesso a computadores, internet e bases de dados disponíveis",Questão 11.  Como você avalia o ambiente para as aulas quanto à adequação ao número de estudantes,Questão 11.  Como você avalia o ambiente para as aulas quanto à acústica,Questão 11.  Como você avalia o ambiente para as aulas quanto à luminosidade,Questão 11.  Como você avalia o ambiente para as aulas quanto à ventilação,Questão 12.  Como você avalia a manutenção/conservação das instalações físicas do seu campus?,Questão 13. Como você avalia o número de equipamentos nos laboratórios de informática?,Questão 14. Como você avalia o número de recursos multimídias?,Questão 15. Como você avalia a adequação dos laboratórios de ensino em relação ao número de alunos?,16. Como você avalia a quantidade de material disponibilizado para as atividades de laboratório ?,Questão 17. As instalações da cantina são adequadas?,Questão 17. Os serviços prestados na cantina são adequados?,Questão17. A diversidade de produtos na cantina,Questão17. A qualidade dos produtos na cantina,Questão 17. As instalações sanitárias e higiene da cantina,Questão18. Como você avalia o espaço físico do campus em relação às necessidades da comunidade acadêmica?,Questão 19. Como você avalia as instalações do campus em relação ao atendimento das pessoas com necessidades específicas?,Questão 20. Como você avalia os serviços de limpeza no campus?,Questão 21. Você já participou de outras avaliações da CPA?,Questão 22. Você já acessou os resultados de outras avaliações da CPA?,Questão 23. Como você considera a divulgação dos resultados deste processo avaliativo?,Questão 24. Há interesse em conhecer o resultado deste processo avaliativo?,Questão 25. Você consegue perceber que os resultados da autoavaliação institucional são utilizados na revisão do planejamento e das ações do IFSULDEMINAS?,Questão 25. Você consegue perceber que foram atendidos os pedidos e sugestões feitos nos questionários das semanas de autoavaliações anteriores?,Questão 26. Como você avalia o programa de assistência à saúde.,Questão 26. Como você avalia o programa de apoio às pessoas com necessidades educacionais específicas,Questão 26. Como você avalia o programa de auxílio estudantil.,"Questão 26. Como você avalia o programa de auxílio à participação em eventos acadêmicos, científicos e tecnológicos.",Questão 26. Como você avalia o programa de mobilidade estudantil nacional e internacional.,Questão 26. Como você avalia o programa de acompanhamento psicológico.,Questão 26. Como você avalia o programa de acompanhamento pedagógico.,Questão 26. Como você avalia o programa de acompanhamento de serviço social,"Questão 26. Como você avalia o programa de incentivo ao esporte, ao lazer e a cultura","Questão 26. Como você avalia a organização de grêmios estudantis, centros acadêmicos e diretórios acadêmicos",Questão 26. Como você avalia a divulgação dos programas de atendimento aos discentes,Questão 27. Como você avalia a compatibilidade entre cursos oferecidos e os recursos disponíveis para cada curso?,Questão 28. Você considera que os recursos financeiros destinados ao IFSULDEMINAS para o desenvolvimento de suas atividades são  suficientes e completos?,Questão 29. Como você avalia a eficiência e eficácia com que os recursos financeiros do IFSULDEMINAS são aplicados?
Discente do Superior,Muzambinho,4°,Bacharelado Medicina Veterinária,Concordo,Concordo plenamente,Concordo,Concordo,Concordo plenamente,Concordo plenamente,Não,Concordo,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo,Sim,Sim,Sim,Sim,Regular,Ruim,Ruins,Muito bom/boa,Regular,Regular,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito boa,Bom,Muito bom,Regular,Regular,Bons/Boas,Muito Bons/Boas,Bons/Boas,Bons/Boas,Muito Bons/Boas,Muito bom,Boas,Muito bons,Não,Não,Eficiente,Sim,Totalmente perceptível,Perceptível,Muito bom,Bom,Bom,Regular,Regular,Muito bom,Muito bom,Muito bom,Regular,Muito bom,Muito bom,Boa,Bons,Boas
Discente do Técnico,Muzambinho,2°  ,Técnico em Informática | Integrado,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Parcialmente,Concordo,Concordo,Concordo,Concordo,Concordo,Parcialmente,Não,Não,Não,Boa,Boa,Bons,Bom/Boa,Bom/Boa,Regular,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Boa,Bom,Bom,Boa,Boa,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bom,Boas,Bons,Não,Não,Eficiente,Sim,Não sei responder,Não sei responder,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Boa,Regulares,Regulares
Discente do Técnico,Inconfidentes,3°,Técnico em Alimentos | Integrado,Concordo plenamente,Concordo plenamente,Concordo plenamente,"Não concordo, nem discordo","Não concordo, nem discordo",Concordo plenamente,Não,Discordo,Discordo,Discordo,Concordo plenamente,Concordo plenamente,Não,Não,Não,Sim,Muito boa,Muito boa,Muito bons,Muito bom/boa,Muito bom/boa,Muito bom/boa,Regular,Regular,Bom/Boa,Bom/Boa,Ruim,Bom,Bom,Boa,Regular,Muito Bons/Boas,Muito Bons/Boas,Regulares,Regulares,Muito Bons/Boas,Bom,Muito ruins,Muito bons,Prefiro não responder,Prefiro não responder,Prefiro não responder,Sim,Prefiro não responder,Prefiro não responder,Regular,Muito ruim,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Regular,Ruins,Ruins
Discente do Técnico,Inconfidentes,2°  ,Técnico em Meio Ambiente | Integrado,"Não concordo, nem discordo",Discordo,Discordo,"Não concordo, nem discordo",Discordo,Discordo plenamente,Não,Concordo,Discordo,Não concordo nem discordo,Concordo,Concordo,Não,Não,Não,Sim,Regular,Regular,Regulares,Muito bom/boa,Muito bom/boa,Muito bom/boa,Bom/Boa,Ruim,Regular,Ruim,Boa,Bom,Bom,Regular,Ruim,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Bom,Regular,Muito bons,Sim,Não,Prefiro não responder,Sim,Perceptível,Não é perceptível nem imperceptível,Regular,Muito bom,Muito bom,Muito bom,Muito bom,Regular,Bom,Bom,Bom,Muito bom,Bom,Regular,Regulares,Regulares
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Não sei responder,Não sei responder,Não sei responder,Concordo,"Não concordo, nem discordo",Não sei responder,Parcialmente,Concordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Não,Não,Não,Não,Boa,Regular,Regulares,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Regular,Bom/Boa,Regular,Regular,Bom,Bom,Boa,Boa,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bom,Regular,Bons,Não,Não,Nem eficiente e nem ineficiente,Sim,Não é perceptível nem imperceptível,Não é perceptível nem imperceptível,Bom,Bom,Não sei,Bom,Bom,Bom,Não sei,Não sei,Bom,Não sei,Regular,Boa,Regulares,Não sei responder
Discente do Superior,Muzambinho,2°,Bacharelado Engenharia Agronômica,Concordo plenamente,"Não concordo, nem discordo","Não concordo, nem discordo",Concordo plenamente,Concordo plenamente,Concordo plenamente,Não,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Parcialmente,Não,Não,Não,Muito boa,Muito boa,Muito bons,Muito bom/boa,Muito bom/boa,Muito bom/boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito boa,Muito bom,Muito bom,Muito boa,Muito boa,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Ruins,Muito Bons/Boas,Muito bom,Muito boas,Muito bons,Não,Não,Eficiente,Sim,Perceptível,Totalmente perceptível,Bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito boa,Muito bons,Muito boas
Discente do Técnico,Inconfidentes,2°  ,Técnico em Alimentos | Integrado,Discordo,Discordo,Discordo,Concordo,Concordo,Discordo plenamente,Sim,Não concordo nem discordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Concordo,Não,Sim,Sim,Sim,Ruim,Ruim,Ruins,Regular,Regular,Regular,Regular,Ruim,Muito ruim,Muito ruim,Ruim,Não sei responder,Ruim,Boa,Regular,Regulares,Regulares,Regulares,Regulares,Ruins,Bom,Muito ruins,Ruins,Sim,Sim,Ineficiente,Não,Perceptível,Totalmente imperceptível,Muito ruim,Ruim,Bom,Bom,Não sei,Bom,Regular,Regular,Bom,Ruim,Regular,Regular,Muito ruins,Regulares
Discente do Técnico,Inconfidentes,6°,Técnico em Meio Ambiente | Integrado,"Não concordo, nem discordo","Não concordo, nem discordo","Não concordo, nem discordo",Concordo,"Não concordo, nem discordo",Concordo,Parcialmente,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Concordo,Não,Não,Não,Sim,Boa,Regular,Bons,Bom/Boa,Bom/Boa,Muito bom/boa,Bom/Boa,Regular,Regular,Ruim,Boa,Bom,Regular,Regular,Boa,Bons/Boas,Bons/Boas,Muito Bons/Boas,Bons/Boas,Bons/Boas,Bom,Não sei responder,Bons,Não,Não,Nem eficiente e nem ineficiente,Não,Não é perceptível nem imperceptível,Não é perceptível nem imperceptível,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Boa,Bons,Boas
Discente do Superior,Inconfidentes,8°,Engenharia Ambiental,Concordo,Concordo plenamente,Concordo,Discordo plenamente,Discordo,Discordo plenamente,Parcialmente,Concordo,Discordo,Discordo,Não concordo nem discordo,Concordo plenamente,Parcialmente,Não,Não,Sim,Boa,Boa,Regulares,Muito bom/boa,Muito bom/boa,Muito bom/boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Boa,Bom,Bom,Regular,Muito ruim,Muito Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Regulares,Bom,Boas,Muito bons,Sim,Não,Ineficiente,Sim,Imperceptível,Não é perceptível nem imperceptível,Muito ruim,Bom,Bom,Bom,Ruim,Ruim,Regular,Muito ruim,Regular,Bom,Bom,Regular,Regulares,Regulares
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Parcialmente,Não,Não,Não,Muito boa,Ruim,Não sei responder,Regular,Não sei responder,Regular,Bom/Boa,Regular,Regular,Regular,Regular,Bom,Bom,Boa,Regular,Bons/Boas,Bons/Boas,Regulares,Regulares,Regulares,Bom,Boas,Bons,Não,Não,Ineficiente,Sim,Não sei responder,Não sei responder,Ruim,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Ruim,Prefiro não responder,Muito bom,Prefiro não responder,Prefiro não responder,Boa,Regulares,Ruins
Discente do Superior,Muzambinho,4°,Bacharelado Engenharia Agronômica,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Não,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não,Não,Não,Não,Boa,Boa,Bons,Bom/Boa,Bom/Boa,Ruim,Bom/Boa,Bom/Boa,Regular,Ruim,Boa,Muito ruim,Ruim,Ruim,Ruim,Regulares,Regulares,Ruins,Ruins,Bons/Boas,Regular,Boas,Regulares,Sim,Não,Nem eficiente e nem ineficiente,Não,Perceptível,Não é perceptível nem imperceptível,Regular,Bom,Regular,Muito bom,Muito bom,Regular,Bom,Bom,Bom,Bom,Bom,Regular,Muito ruins,Regulares
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Concordo,Concordo,Concordo plenamente,Concordo,Concordo,Concordo,Não,Concordo,Não concordo nem discordo,Não concordo nem discordo,Concordo,Concordo,Não,Sim,Sim,Não,Muito boa,Boa,Bons,Bom/Boa,Muito bom/boa,Muito bom/boa,Muito Bom/Boa,Bom/Boa,Bom/Boa,Ruim,Regular,Bom,Bom,Boa,Boa,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bom,Regular,Bons,Não,Não,Eficiente,Prefiro não responder,Não é perceptível nem imperceptível,Não é perceptível nem imperceptível,Bom,Bom,Regular,Bom,Regular,Bom,Bom,Bom,Bom,Bom,Bom,Boa,Bons,Boas
Discente do Técnico,Inconfidentes,1°  ,Técnico em Meio Ambiente | Integrado,Concordo,"Não concordo, nem discordo",Concordo,Concordo,Concordo,Concordo plenamente,Parcialmente,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Concordo,Concordo,Não,Não,Não,Não,Muito boa,Regular,Regulares,Bom/Boa,Muito bom/boa,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Regular,Regular,Regular,Regular,Boa,Boa,Muito Bons/Boas,Bons/Boas,Bons/Boas,Muito Bons/Boas,Regulares,Bom,Regular,Bons,Não,Não,Não sei responder,Não,Perceptível,Perceptível,Ruim,Não sei,Muito bom,Bom,Não sei,Bom,Não sei,Não sei,Muito bom,Muito bom,Não sei,Regular,Regulares,Ruins
Discente do Técnico,Três Corações,1°  ,Técnico em Informática | Integrado,Concordo plenamente,Concordo plenamente,Concordo,Concordo,Concordo,Concordo plenamente,Parcialmente,Concordo,Concordo,Concordo,Concordo,Concordo,Parcialmente,Não,Não,Não,Muito boa,Muito boa,Muito bons,Muito bom/boa,Muito bom/boa,Muito bom/boa,Muito Bom/Boa,Regular,Muito Bom/Boa,Muito Bom/Boa,Muito boa,Muito bom,Muito bom,Muito boa,Muito boa,Muito Bons/Boas,Muito Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bom,Muito boas,Muito bons,Não,Não,Eficiente,Sim,Totalmente perceptível,Totalmente perceptível,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito boa,Muito bons,Muito boas
Discente do Técnico,Inconfidentes,2°  ,Técnico em Meio Ambiente | Integrado,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Não,Concordo,Discordo,Discordo,Concordo,Concordo,Não,Não,Não,Não,Boa,Boa,Muito bons,Ruim,Regular,Regular,Bom/Boa,Bom/Boa,Bom/Boa,Regular,Boa,Bom,Bom,Regular,Regular,Bons/Boas,Muito Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Muito bom,Boas,Muito bons,Não,Não,Não sei responder,Sim,Não sei responder,Não sei responder,Regular,Não sei,Não sei,Não sei,Não sei,Regular,Não sei,Regular,Bom,Bom,Regular,Não sei responder,Bons,Não sei responder
Discente do Técnico,Inconfidentes,1°,Técnico em Meio Ambiente | Integrado,Concordo,Concordo,"Não concordo, nem discordo","Não concordo, nem discordo",Concordo,"Não concordo, nem discordo",Parcialmente,Não concordo nem discordo,Discordo,Não concordo nem discordo,Concordo,Não concordo nem discordo,Não,Não,Não,Sim,Regular,Muito ruim,Regulares,Bom/Boa,Muito bom/boa,Muito bom/boa,Muito Bom/Boa,Regular,Bom/Boa,Ruim,Boa,Não sei responder,Bom,Boa,Regular,Bons/Boas,Regulares,Regulares,Regulares,Bons/Boas,Bom,Regular,Bons,Não,Não,Totalmente eficiente,Sim,Perceptível,Imperceptível,Ruim,Regular,Ruim,Regular,Regular,Muito bom,Regular,Regular,Regular,Bom,Regular,Regular,Bons,Boas
Discente do Técnico,Inconfidentes,3°,Técnico em Meio Ambiente | Integrado,Concordo,"Não concordo, nem discordo","Não concordo, nem discordo","Não concordo, nem discordo",Concordo,Concordo,Parcialmente,Discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Concordo,Não,Não,Não,Sim,Boa,Boa,Bons,Muito bom/boa,Bom/Boa,Bom/Boa,Muito Bom/Boa,Bom/Boa,Regular,Ruim,Regular,Bom,Bom,Boa,Boa,Bons/Boas,Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Bons/Boas,Bom,Regular,Muito bons,Sim,Não,Nem eficiente e nem ineficiente,Não,Não é perceptível nem imperceptível,Perceptível,Ruim,Regular,Bom,Bom,Bom,Ruim,Regular,Bom,Bom,Bom,Bom,Regular,Regulares,Regulares
Discente do Superior,Muzambinho,4°,Bacharelado Engenharia Agronômica,Discordo,Discordo,Discordo,Discordo,Concordo,Concordo plenamente,Parcialmente,Concordo,Concordo,Concordo,Concordo,Concordo,Não,Não,Não,Não,Muito boa,Muito boa,Muito bons,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Regular,Muito boa,Regular,Regular,Regular,Regular,Bons/Boas,Regulares,Regulares,Regulares,Regulares,Bom,Regular,Bons,Não,Não,Eficiente,Não,Perceptível,Não é perceptível nem imperceptível,Bom,Não sei,Bom,Regular,Regular,Não sei,Não sei,Não sei,Não sei,Bom,Bom,Boa,Ruins,Boas
Discente do Técnico,Inconfidentes,3°  ,Técnico em Meio Ambiente | Integrado,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não,Discordo plenamente,Discordo plenamente,Discordo plenamente,Concordo plenamente,Concordo plenamente,Não,Não,Não,Não,Muito boa,Boa,Bons,Muito bom/boa,Muito bom/boa,Bom/Boa,Bom/Boa,Regular,Regular,Muito ruim,Regular,Bom,Muito bom,Boa,Muito boa,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Regulares,Bom,Muito ruins,Muito bons,Não,Não,Eficiente,Não,Imperceptível,Não sei responder,Ruim,Bom,Não sei,Regular,Regular,Ruim,Bom,Não sei,Regular,Regular,Ruim,Boa,Muito ruins,Boas
Discente do Técnico,Inconfidentes,3°  ,Técnico em Meio Ambiente | Integrado,Discordo,Discordo,Discordo,"Não concordo, nem discordo","Não concordo, nem discordo",Concordo,Não,Discordo,Discordo,Discordo,Não sei responder,Não sei responder,Não,Sim,Sim,Sim,Boa,Boa,Regulares,Muito bom/boa,Muito bom/boa,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Regular,Boa,Bom,Bom,Regular,Regular,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Regulares,Bom,Não sei responder,Bons,Sim,Não,Nem eficiente e nem ineficiente,Não,Não é perceptível nem imperceptível,Não é perceptível nem imperceptível,Regular,Não sei,Bom,Bom,Não sei,Não sei,Bom,Não sei,Não sei,Não sei,Não sei,Regular,Regulares,Regulares
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Discordo,Discordo,"Não concordo, nem discordo","Não concordo, nem discordo",Concordo,Concordo plenamente,Parcialmente,Concordo plenamente,Concordo,Concordo,Concordo plenamente,Não concordo nem discordo,Não,Não,Não,Não,Regular,Boa,Regulares,Regular,Bom/Boa,Regular,Muito Bom/Boa,Regular,Regular,Ruim,Boa,Muito bom,Bom,Boa,Boa,Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Bons/Boas,Bons/Boas,Regular,Boas,Muito bons,Não,Não,Não sei responder,Sim,Perceptível,Não é perceptível nem imperceptível,Ruim,Bom,Bom,Regular,Ruim,Não sei,Bom,Não sei,Ruim,Não sei,Não sei,Boa,Regulares,Regulares
Discente do Técnico,Inconfidentes,3°  ,Técnico em Meio Ambiente | Integrado,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Sim,Concordo plenamente,Concordo plenamente,Discordo plenamente,Concordo,Concordo,Não,Não,Não,Sim,Boa,Regular,Regulares,Ruim,Bom/Boa,Muito bom/boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Bom/Boa,Regular,Bom,Muito bom,Regular,Muito boa,Bons/Boas,Bons/Boas,Regulares,Bons/Boas,Bons/Boas,Bom,Regular,Regulares,Não,Não,Não sei responder,Sim,Não sei responder,Não sei responder,Muito ruim,Regular,Bom,Bom,Bom,Ruim,Ruim,Bom,Regular,Bom,Bom,Boa,Regulares,Regulares
Discente do Superior,Muzambinho,4°,Bacharelado Engenharia Agronômica,Concordo,"Não concordo, nem discordo",Concordo,"Não concordo, nem discordo",Concordo,Concordo,Parcialmente,Não concordo nem discordo,Concordo,Concordo,Não concordo nem discordo,Prefiro não responder,Não,Não,Não,Não,Boa,Boa,Bons,Muito bom/boa,Muito bom/boa,Regular,Bom/Boa,Bom/Boa,Muito Bom/Boa,Regular,Regular,Bom,Muito bom,Muito boa,Muito boa,Regulares,Regulares,Ruins,Ruins,Regulares,Muito bom,Boas,Ruins,Não,Não,Prefiro não responder,Sim,Não é perceptível nem imperceptível,Não é perceptível nem imperceptível,Muito bom,Muito bom,Regular,Regular,Muito bom,Bom,Muito bom,Bom,Bom,Muito bom,Muito bom,Muito boa,Bons,Boas
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Concordo,Concordo,Concordo,Discordo plenamente,Discordo plenamente,"Não concordo, nem discordo",Não,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não,Não,Sim,Sim,Muito ruim,Boa,Bons,Bom/Boa,Muito bom/boa,Regular,Bom/Boa,Regular,Bom/Boa,Ruim,Regular,Regular,Regular,Regular,Regular,Bons/Boas,Bons/Boas,Bons/Boas,Ruins,Bons/Boas,Ruim,Boas,Muito bons,Não,Não,Totalmente ineficiente,Não,Não sei responder,Não sei responder,Ruim,Não sei,Não sei,Não sei,Muito ruim,Não sei,Não sei,Não sei,Regular,Não sei,Muito ruim,Regular,Regulares,Ruins
Discente do Técnico,Inconfidentes,1°,Técnico em Informática | Integrado,"Não concordo, nem discordo","Não concordo, nem discordo",Discordo,Concordo,Concordo,"Não concordo, nem discordo",Parcialmente,Concordo,Concordo,Concordo,Concordo plenamente,Concordo plenamente,Não,Não,Não,Não,Regular,Boa,Regulares,Regular,Muito bom/boa,Muito bom/boa,Bom/Boa,Regular,Regular,Regular,Boa,Bom,Bom,Regular,Boa,Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Bons/Boas,Regular,Boas,Regulares,Não,Não,Não sei responder,Sim,Perceptível,Perceptível,Ruim,Bom,Bom,Não sei,Ruim,Não sei,Não sei,Regular,Regular,Não sei,Regular,Boa,Regulares,Regulares
Discente do Técnico,Inconfidentes,1°,Técnico em Informática | Integrado,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Parcialmente,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Não sei responder,Concordo,Sim,Não,Não,Não,Muito boa,Regular,Bons,Muito bom/boa,Muito bom/boa,Regular,Muito Bom/Boa,Bom/Boa,Muito Bom/Boa,Regular,Boa,Bom,Bom,Boa,Não sei responder,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Bons/Boas,Bom,Regular,Bons,Não,Não,Eficiente,Sim,Perceptível,Não é perceptível nem imperceptível,Regular,Regular,Bom,Bom,Bom,Muito bom,Muito bom,Bom,Muito bom,Muito bom,Bom,Muito boa,Bons,Boas
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Concordo plenamente,Concordo,Concordo plenamente,Discordo plenamente,Discordo plenamente,Concordo,Não,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não,Não,Sim,Sim,Ruim,Boa,Bons,Bom/Boa,Muito bom/boa,Regular,Bom/Boa,Regular,Bom/Boa,Ruim,Regular,Regular,Regular,Regular,Regular,Muito Bons/Boas,Muito Bons/Boas,Regulares,Regulares,Muito Bons/Boas,Ruim,Boas,Muito bons,Não,Não,Totalmente ineficiente,Prefiro não responder,Não sei responder,Não sei responder,Ruim,Não sei,Não sei,Não sei,Muito ruim,Não sei,Não sei,Não sei,Regular,Não sei,Não sei,Regular,Regulares,Regulares
Discente do Técnico,Inconfidentes,1°  ,Técnico em Meio Ambiente | Integrado,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Não,Concordo plenamente,Discordo,Concordo,Concordo,Concordo plenamente,Parcialmente,Sim,Não,Sim,Muito boa,Ruim,Regulares,Muito bom/boa,Muito bom/boa,Muito bom/boa,Regular,Ruim,Bom/Boa,Regular,Muito boa,Muito bom,Muito bom,Muito boa,Muito boa,Muito Bons/Boas,Muito Bons/Boas,Ruins,Regulares,Regulares,Muito bom,Regular,Muito bons,Não,Não,Eficiente,Não,Totalmente perceptível,Totalmente perceptível,Ruim,Muito bom,Ruim,Muito bom,Muito bom,Ruim,Ruim,Regular,Regular,Muito bom,Muito bom,Muito boa,Regulares,Muito boas
Discente do Técnico,Inconfidentes,1°  ,Técnico em Informática | Integrado,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Não,Concordo,Concordo,Concordo,Concordo,Concordo,Não,Não,Não,Não,Ruim,Ruim,Regulares,Bom/Boa,Bom/Boa,Bom/Boa,Regular,Regular,Regular,Regular,Regular,Muito bom,Muito bom,Boa,Boa,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Muito bom,Boas,Muito bons,Não,Não,Eficiente,Sim,Perceptível,Prefiro não responder,Prefiro não responder,Muito bom,Ruim,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Boa,Bons,Regulares
Discente do Superior,Muzambinho,4°,Bacharelado Engenharia Agronômica,Concordo,Concordo,Concordo,Discordo,"Não concordo, nem discordo","Não concordo, nem discordo",Parcialmente,Concordo,Discordo,Discordo,Discordo,Discordo plenamente,Não,Não,Não,Não,Muito boa,Boa,Bons,Muito bom/boa,Muito bom/boa,Muito bom/boa,Bom/Boa,Regular,Regular,Muito ruim,Boa,Muito ruim,Regular,Regular,Boa,Ruins,Bons/Boas,Ruins,Ruins,Ruins,Ruim,Muito boas,Muito ruins,Não,Não,Totalmente eficiente,Sim,Não é perceptível nem imperceptível,Não sei responder,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Bom,Bom,Bom,Muito bom,Muito bom,Muito bom,Muito boa,Regulares,Regulares
Discente do Técnico,Inconfidentes,1°  ,Técnico em Meio Ambiente | Integrado,Concordo,Concordo plenamente,Concordo plenamente,Discordo,Concordo,Discordo,Sim,Não concordo nem discordo,Não concordo nem discordo,Concordo plenamente,Concordo plenamente,Concordo plenamente,Parcialmente,Não,Não,Sim,Regular,Boa,Bons,Muito bom/boa,Muito bom/boa,Regular,Bom/Boa,Regular,Bom/Boa,Bom/Boa,Boa,Bom,Regular,Muito boa,Boa,Bons/Boas,Bons/Boas,Regulares,Muito Bons/Boas,Muito Bons/Boas,Bom,Boas,Muito bons,Sim,Não,Ineficiente,Não,Não é perceptível nem imperceptível,Perceptível,Bom,Muito bom,Bom,Muito bom,Bom,Regular,Bom,Bom,Muito bom,Muito bom,Regular,Boa,Regulares,Boas
