Perfil,Unidade,Serie,Curso,Questão 1. Sei iniciar os procedimentos administrativos,Questão 1. Sei acompanhar os procedimentos administrativos,Questão 1. Sei obter informações para realizar os procedimentos administrativos,Questão 1.As informações são de simples localização,Questão 1. As informações são de simples compreensão,Questão 1. O pedido de esclarecimentos sobre os procedimentos administrativos é respondido de forma satisfatória (clara e rápida).,Questão 2. Você tem conhecimento sobre como é a jornada de trabalho dos Docentes e/ou dos Técnicos Administrativos em Educação?,Questão 3. Os horários de funcionamento dos setores são amplamente divulgados e de fácil acesso.,Questão 3. O horário de atendimento dos docentes é amplamente divulgado e de fácil acesso.,Questão 3. O horário de atendimento dos técnicos administrativos é amplamente divulgado e de fácil acesso,Questão 3. Considero que a flexibilização de 30 horas é benéfica ao desenvolvimento de atividades na instituição.,Questão 3. Considero que a normativa docente é benéfica ao desenvolvimento de atividades na instituição,Questão 4. Você conhece o organograma administrativo do IFSULDEMINAS da sua unidade?,Questão 5.Conheço as instâncias consultivas,Questão 5. Conheço as instâncias deliberativas?,Questão 6.  Você já participou de alguma consulta ou eleição? ,Questão 8. Como você avalia a facilidade de acesso,Questão 8. Como você avalia a segurança no Campus,Questão 9.  Como você avalia os serviços de segurança no campus?,Questão 10. Como você avalia o serviço prestado pela biblioteca,Questão 10. Como você avalia a quantidade de livros básicos e periódicos recomendados nas unidades curriculares,"Questão 10. Como você avalia a biblioteca quanto ao acesso a computadores, internet e bases de dados disponíveis",Questão 11.  Como você avalia o ambiente para as aulas quanto à adequação ao número de estudantes,Questão 11.  Como você avalia o ambiente para as aulas quanto à acústica,Questão 11.  Como você avalia o ambiente para as aulas quanto à luminosidade,Questão 11.  Como você avalia o ambiente para as aulas quanto à ventilação,Questão 12.  Como você avalia a manutenção/conservação das instalações físicas do seu campus?,Questão 13. Como você avalia o número de equipamentos nos laboratórios de informática?,Questão 14. Como você avalia o número de recursos multimídias?,Questão 15. Como você avalia a adequação dos laboratórios de ensino em relação ao número de alunos?,16. Como você avalia a quantidade de material disponibilizado para as atividades de laboratório ?,Questão 17. As instalações da cantina são adequadas?,Questão 17. Os serviços prestados na cantina são adequados?,Questão17. A diversidade de produtos na cantina,Questão17. A qualidade dos produtos na cantina,Questão 17. As instalações sanitárias e higiene da cantina,Questão18. Como você avalia o espaço físico do campus em relação às necessidades da comunidade acadêmica?,Questão 19. Como você avalia as instalações do campus em relação ao atendimento das pessoas com necessidades específicas?,Questão 20. Como você avalia os serviços de limpeza no campus?,Questão 21. Você já participou de outras avaliações da CPA?,Questão 22. Você já acessou os resultados de outras avaliações da CPA?,Questão 23. Como você considera a divulgação dos resultados deste processo avaliativo?,Questão 24. Há interesse em conhecer o resultado deste processo avaliativo?,Questão 25. Você consegue perceber que os resultados da autoavaliação institucional são utilizados na revisão do planejamento e das ações do IFSULDEMINAS?,Questão 25. Você consegue perceber que foram atendidos os pedidos e sugestões feitos nos questionários das semanas de autoavaliações anteriores?,Questão 26. Como você avalia o programa de assistência à saúde.,Questão 26. Como você avalia o programa de apoio às pessoas com necessidades educacionais específicas,Questão 26. Como você avalia o programa de auxílio estudantil.,"Questão 26. Como você avalia o programa de auxílio à participação em eventos acadêmicos, científicos e tecnológicos.",Questão 26. Como você avalia o programa de mobilidade estudantil nacional e internacional.,Questão 26. Como você avalia o programa de acompanhamento psicológico.,Questão 26. Como você avalia o programa de acompanhamento pedagógico.,Questão 26. Como você avalia o programa de acompanhamento de serviço social,"Questão 26. Como você avalia o programa de incentivo ao esporte, ao lazer e a cultura","Questão 26. Como você avalia a organização de grêmios estudantis, centros acadêmicos e diretórios acadêmicos",Questão 26. Como você avalia a divulgação dos programas de atendimento aos discentes,Questão 27. Como você avalia a compatibilidade entre cursos oferecidos e os recursos disponíveis para cada curso?,Questão 28. Você considera que os recursos financeiros destinados ao IFSULDEMINAS para o desenvolvimento de suas atividades são  suficientes e completos?,Questão 29. Como você avalia a eficiência e eficácia com que os recursos financeiros do IFSULDEMINAS são aplicados?
Discente do Técnico,Poços de Caldas,1°  ,Técnico em Administração | Integrado,Discordo plenamente,Discordo plenamente,Discordo plenamente,Discordo plenamente,Discordo plenamente,Não sei responder,Não,Discordo,Concordo,Discordo,Não sei responder,Não sei responder,Não,Não,Não,Não,Boa,Boa,Bons,Bom/Boa,Regular,Muito ruim,Bom/Boa,Bom/Boa,Regular,Muito ruim,Regular,Bom,Regular,Boa,Boa,Bons/Boas,Bons/Boas,Regulares,Regulares,Muito ruins,Bom,Boas,Muito bons,Não,Não,Não sei responder,Sim,Não sei responder,Não sei responder,Ruim,Não sei,Não sei,Muito ruim,Não sei,Não sei,Não sei,Não sei,Muito ruim,Muito ruim,Muito ruim,Regular,Regulares,Regulares
Discente do Técnico,Poços de Caldas,3°,Técnico em Desenvolvimento de Sistemas - EaD | Subsequente,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Discordo plenamente,Não sei responder,Não,Concordo,Não concordo nem discordo,Discordo plenamente,Concordo,Concordo plenamente,Não,Não,Não,Não,Não sei responder,Não sei responder,Não sei responder,Não se aplica,Não se aplica,Não se aplica,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não,Não,Não sei responder,Sim,Não sei responder,Não sei responder,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei responder,Regulares,Não sei responder
Discente do Superior,Poços de Caldas,8°,Licenciatura Geografia,Concordo,Concordo,Concordo,Concordo plenamente,Concordo,Concordo,Parcialmente,Concordo,Concordo,Concordo,Concordo,Concordo,Não,Não,Não,Sim,Muito boa,Regular,Regulares,Muito bom/boa,Bom/Boa,Muito bom/boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Boa,Muito bom,Muito bom,Muito boa,Muito boa,Bons/Boas,Regulares,Regulares,Bons/Boas,Muito Bons/Boas,Muito bom,Boas,Muito bons,Sim,Não,Eficiente,Sim,Totalmente perceptível,Totalmente perceptível,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito boa,Muito bons,Muito boas
Discente do Superior,Poços de Caldas,2°,Licenciatura Geografia,Concordo plenamente,Concordo plenamente,Concordo,"Não concordo, nem discordo",Concordo plenamente,"Não concordo, nem discordo",Parcialmente,Discordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Não,Não,Não,Não,Muito boa,Muito ruim,Bons,Prefiro não responder,Prefiro não responder,Prefiro não responder,Regular,Regular,Regular,Muito ruim,Regular,Não sei responder,Muito bom,Não sei responder,Não sei responder,Regulares,Regulares,Ruins,Muito Bons/Boas,Muito Bons/Boas,Bom,Muito boas,Muito ruins,Não,Não,Não sei responder,Sim,Não sei responder,Não sei responder,Não sei,Não sei,Não sei,Muito bom,Não sei,Não sei,Não sei,Não sei,Não sei,Prefiro não responder,Muito ruim,Regular,Ruins,Boas
Discente do Técnico,Poços de Caldas,2°  ,Técnico em Informática | Integrado,Concordo,Concordo,Concordo,Discordo,Concordo,"Não concordo, nem discordo",Parcialmente,Concordo,Concordo plenamente,Concordo plenamente,Não concordo nem discordo,Concordo,Não,Sim,Sim,Sim,Boa,Ruim,Ruins,Bom/Boa,Regular,Muito ruim,Regular,Bom/Boa,Bom/Boa,Muito ruim,Muito ruim,Bom,Bom,Boa,Boa,Bons/Boas,Bons/Boas,Bons/Boas,Regulares,Não sei responder,Bom,Não sei responder,Muito bons,Não,Não,Não sei responder,Sim,Não sei responder,Não sei responder,Não sei,Não sei,Muito bom,Muito bom,Não sei,Não sei,Não sei,Não sei,Bom,Ruim,Bom,Regular,Regulares,Não sei responder
TAE,Poços de Caldas,,,Concordo,Concordo,Concordo plenamente,"Não concordo, nem discordo",Concordo plenamente,Concordo,Sim,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo,Sim,Sim,Sim,Sim,Muito boa,Regular,Bons,Não sei responder,Não sei responder,Não sei responder,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Boa,Muito bom,Muito bom,Muito boa,Não sei responder,Muito Bons/Boas,Muito Bons/Boas,Regulares,Bons/Boas,Muito Bons/Boas,Muito bom,Muito boas,Muito bons,Sim,Sim,Eficiente,Sim,Perceptível,Não sei responder,Bom,Muito bom,Muito bom,Bom,Muito bom,Regular,Muito bom,Muito bom,Muito bom,Regular,Bom,Muito boa,Muito bons,Muito boas
Discente do Superior,Poços de Caldas,4°,Licenciatura Geografia,Concordo,"Não concordo, nem discordo",Discordo,Discordo,"Não concordo, nem discordo",Não sei responder,Não,Discordo,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não,Não,Não,Não,Muito ruim,Boa,Bons,Bom/Boa,Ruim,Muito ruim,Não sei responder,Regular,Regular,Regular,Boa,Ruim,Regular,Não sei responder,Não sei responder,Regulares,Ruins,Ruins,Regulares,Bons/Boas,Regular,Boas,Bons,Não,Não,Totalmente ineficiente,Sim,Não é perceptível nem imperceptível,Não é perceptível nem imperceptível,Não sei,Não sei,Não sei,Não sei,Muito ruim,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Regular,Ruins,Ruins
Docente,Poços de Caldas,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Sim,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Parcialmente,Sim,Sim,Sim,Muito boa,Muito boa,Muito bons,Muito bom/boa,Bom/Boa,Muito bom/boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito boa,Muito bom,Muito bom,Muito boa,Muito boa,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Muito bom,Muito boas,Muito bons,Não,Sim,Eficiente,Sim,Totalmente perceptível,Totalmente perceptível,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Boa,Bons,Boas
Discente do Técnico,Poços de Caldas,3°  ,Técnico em Eletroeletrônica | Integrado,Discordo,Discordo plenamente,"Não concordo, nem discordo",Discordo,Não sei responder,Discordo plenamente,Não,Concordo plenamente,Concordo plenamente,Discordo,Concordo,Concordo plenamente,Não,Não,Não,Prefiro não responder,Boa,Boa,Muito bons,Muito bom/boa,Muito bom/boa,Muito ruim,Muito Bom/Boa,Bom/Boa,Muito Bom/Boa,Muito ruim,Boa,Bom,Bom,Regular,Muito boa,Regulares,Ruins,Bons/Boas,Regulares,Muito Bons/Boas,Bom,Regular,Muito bons,Não,Não,Eficiente,Sim,Totalmente perceptível,Não sei responder,Muito bom,Regular,Bom,Regular,Regular,Muito ruim,Regular,Bom,Muito bom,Muito ruim,Muito bom,Boa,Regulares,Não sei responder
Discente do Técnico,Poços de Caldas,6°,Técnico em Administração | Integrado,"Não concordo, nem discordo","Não concordo, nem discordo","Não concordo, nem discordo","Não concordo, nem discordo","Não concordo, nem discordo",Concordo plenamente,Parcialmente,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Parcialmente,Não,Não,Sim,Regular,Boa,Bons,Muito bom/boa,Muito bom/boa,Muito bom/boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Ruim,Boa,Muito bom,Muito bom,Boa,Boa,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Bons/Boas,Muito bom,Regular,Muito bons,Sim,Não,Nem eficiente e nem ineficiente,Sim,Não é perceptível nem imperceptível,Não é perceptível nem imperceptível,Ruim,Regular,Bom,Prefiro não responder,Prefiro não responder,Bom,Bom,Bom,Bom,Ruim,Bom,Boa,Regulares,Boas
